epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3173,2.18303,2.96248,1.61606,0.63652,0.45402,0.43996,0.18203,1.9464,1.95332,1.51131,0.000369376,0.000369376,0.000369376
2,5990.47,1.97732,1.9102,1.47616,0.58648,0.52503,0.54324,0.22715,1.93837,1.69826,1.5727,0.000710417,0.000710417,0.000710417
3,8646.48,1.94731,1.77807,1.47644,0.55427,0.5436,0.55199,0.24528,1.90702,1.65695,1.57604,0.00102213,0.00102213,0.00102213
4,11296.1,1.92043,1.68738,1.4694,0.77112,0.61051,0.68828,0.29227,1.87732,1.46528,1.55645,0.000979013,0.000979013,0.000979013
5,14057.3,1.8941,1.62567,1.44425,0.63588,0.61145,0.64505,0.27381,1.86982,1.45109,1.53514,0.000935018,0.000935018,0.000935018
6,16876.6,1.88128,1.55561,1.44079,0.80716,0.67157,0.74841,0.31593,1.89469,1.3155,1.50031,0.000891022,0.000891022,0.000891022
7,19739.4,1.85667,1.50504,1.41933,0.68215,0.59353,0.65624,0.29216,1.8573,1.46046,1.50151,0.000847026,0.000847026,0.000847026
8,22573.7,1.83128,1.46137,1.40959,0.77805,0.67737,0.7675,0.32929,1.84522,1.283,1.4824,0.000803031,0.000803031,0.000803031
9,25363.1,1.83316,1.41989,1.39841,0.74526,0.69529,0.74855,0.33298,1.82698,1.26967,1.47414,0.000759035,0.000759035,0.000759035
10,28143,1.82911,1.40367,1.40021,0.77084,0.68583,0.75366,0.33461,1.82651,1.27607,1.47171,0.00071504,0.00071504,0.00071504
11,30915,1.80577,1.39025,1.37571,0.7498,0.70041,0.76773,0.34739,1.83725,1.25259,1.48709,0.000671044,0.000671044,0.000671044
12,33684.9,1.79831,1.34882,1.36683,0.82656,0.72865,0.80808,0.35616,1.8093,1.17967,1.44779,0.000627048,0.000627048,0.000627048
13,36472.9,1.79632,1.32868,1.37165,0.76947,0.69634,0.75866,0.32618,1.8405,1.24729,1.45495,0.000583053,0.000583053,0.000583053
14,39256.3,1.77349,1.31118,1.35639,0.79054,0.7247,0.78476,0.3596,1.77054,1.18515,1.42899,0.000539057,0.000539057,0.000539057
15,42025.9,1.76548,1.27174,1.35104,0.80903,0.74178,0.81458,0.36782,1.81268,1.15084,1.4397,0.000495062,0.000495062,0.000495062
16,45125.5,1.73533,1.11027,1.40574,0.84881,0.75537,0.83501,0.38337,1.77164,1.11657,1.42809,0.000451066,0.000451066,0.000451066
17,48784.4,1.72546,1.07609,1.40267,0.82118,0.77402,0.83187,0.38095,1.7745,1.11343,1.41821,0.00040707,0.00040707,0.00040707
18,51683.9,1.71344,1.04435,1.40105,0.85088,0.77258,0.84036,0.38054,1.78933,1.09911,1.43529,0.000363075,0.000363075,0.000363075
